commonid,BlockStartingHour,BankerGroup,state
2019778,11,Refinance,GA
2019778,11,Refinance,IL
2019778,11,Refinance,ME
2019778,11,Refinance,MA
2019778,11,Refinance,MI
2019778,11,Refinance,NJ
2019778,11,Refinance,NC
2019778,11,Refinance,OH
2019778,11,Refinance,PA
2019778,11,Refinance,SC
2019778,11,Refinance,VA
2019862,11,Purchase,AL
2019862,11,Purchase,AK
2019862,11,Purchase,CA
2019862,11,Purchase,CO
2019862,11,Purchase,GA
2019862,11,Purchase,IL
2019862,11,Purchase,KS
2019862,11,Purchase,MN
2019862,11,Purchase,MS
2019862,11,Purchase,NV
2019862,11,Purchase,NJ
2019862,11,Purchase,NC
2019862,11,Purchase,OH
2019862,11,Purchase,OR
2019862,11,Purchase,PA
2019862,11,Purchase,SC
2019862,11,Purchase,TN
2019862,11,Purchase,TX
2019862,11,Purchase,VT
2019862,11,Purchase,VA
2019936,11,Refinance,CA
2019936,11,Refinance,DE
2019936,11,Refinance,GA
2019936,11,Refinance,IN
2019936,11,Refinance,ME
2019936,11,Refinance,MA
2019936,11,Refinance,MI
2019936,11,Refinance,MS
2019936,11,Refinance,MO
2019936,11,Refinance,NC
2019936,11,Refinance,ND
2019936,11,Refinance,OH
2019936,11,Refinance,PA
2019936,11,Refinance,RI
2019936,11,Refinance,TN
2019936,11,Refinance,TX
2019936,11,Refinance,VA
2019979,11,Refinance,AL
2019979,11,Refinance,CA
2019979,11,Refinance,GA
2019979,11,Refinance,IL
2019979,11,Refinance,KS
2019979,11,Refinance,MI
2019979,11,Refinance,MO
2019979,11,Refinance,NE
2019979,11,Refinance,NJ
2019979,11,Refinance,NC
2019979,11,Refinance,OK
2019979,11,Refinance,PA
2019979,11,Refinance,RI
2019979,11,Refinance,TX
2019979,11,Refinance,VA
2020061,11,Purchase,CA
2020061,11,Purchase,GA
2020061,11,Purchase,LA
2020061,11,Purchase,MI
2020061,11,Purchase,MS
2020061,11,Purchase,NJ
