commonid,BlockStartingHour,BankerGroup,state
2016559,11,Refinance,WY
2016656,11,Refinance,AK
2016656,11,Refinance,CA
2016656,11,Refinance,FL
2016656,11,Refinance,GA
2016656,11,Refinance,HI
2016656,11,Refinance,ID
2016656,11,Refinance,IL
2016656,11,Refinance,KS
2016656,11,Refinance,MA
2016656,11,Refinance,MI
2016656,11,Refinance,MN
2016656,11,Refinance,NY
2016656,11,Refinance,NC
2016656,11,Refinance,OK
2016656,11,Refinance,SC
2016656,11,Refinance,TX
2016656,11,Refinance,WY
2016694,11,Purchase,AZ
2016694,11,Purchase,CA
2016694,11,Purchase,FL
2016694,11,Purchase,GA
2016694,11,Purchase,HI
2016694,11,Purchase,IL
2016694,11,Purchase,KS
2016694,11,Purchase,LA
2016694,11,Purchase,MI
2016694,11,Purchase,MO
2016694,11,Purchase,MT
2016694,11,Purchase,NY
2016694,11,Purchase,NC
2016694,11,Purchase,OK
2016694,11,Purchase,PA
2016694,11,Purchase,SC
2016694,11,Purchase,TX
2016694,11,Purchase,WA
2016694,11,Purchase,WV
2016729,11,Purchase,AK
2016729,11,Purchase,CA
2016729,11,Purchase,CO
2016729,11,Purchase,CT
2016729,11,Purchase,GA
2016729,11,Purchase,IL
2016729,11,Purchase,MI
2016729,11,Purchase,MN
2016729,11,Purchase,NJ
2016729,11,Purchase,NM
2016729,11,Purchase,OH
2016729,11,Purchase,OK
2016729,11,Purchase,TX
2016729,11,Purchase,VT
2016729,11,Purchase,VA
2016806,11,Purchase,AL
2016806,11,Purchase,AK
2016806,11,Purchase,AZ
2016806,11,Purchase,CA
2016806,11,Purchase,DE
2016806,11,Purchase,FL
2016806,11,Purchase,GA
2016806,11,Purchase,KS
2016806,11,Purchase,LA
2016806,11,Purchase,MD
2016806,11,Purchase,MA
2016806,11,Purchase,MI
2016806,11,Purchase,MS
2016806,11,Purchase,NJ
2016806,11,Purchase,NC
2016806,11,Purchase,OH
2016806,11,Purchase,OK
2016806,11,Purchase,PA
2016806,11,Purchase,WV
2016807,11,Refinance,AL
2016807,11,Refinance,CA
2016807,11,Refinance,CT
2016807,11,Refinance,DC
2016807,11,Refinance,FL
2016807,11,Refinance,GA
2016807,11,Refinance,IL
2016807,11,Refinance,IN
2016807,11,Refinance,LA
2016807,11,Refinance,MI
2016807,11,Refinance,MT
2016807,11,Refinance,OK
2016807,11,Refinance,PA
2016807,11,Refinance,TX
2016807,11,Refinance,UT
2016807,11,Refinance,WA
2016807,11,Refinance,WI
2016886,11,Refinance,AK
2016886,11,Refinance,CA
2016886,11,Refinance,FL
2016886,11,Refinance,GA
2016886,11,Refinance,IN
2016886,11,Refinance,IA
2016886,11,Refinance,MD
2016886,11,Refinance,MI
2016886,11,Refinance,NY
2016886,11,Refinance,NC
2016886,11,Refinance,OH
2016886,11,Refinance,OK
2016886,11,Refinance,PA
2016886,11,Refinance,TX
2016886,11,Refinance,VA
2016886,11,Refinance,WA
2016886,11,Refinance,WI
2016911,11,Purchase,CA
2016911,11,Purchase,DE
2016911,11,Purchase,DC
2016911,11,Purchase,FL
2016911,11,Purchase,ID
2016911,11,Purchase,IN
2016911,11,Purchase,IA
2016911,11,Purchase,KY
2016911,11,Purchase,MD
2016911,11,Purchase,MA
2016911,11,Purchase,MI
2016911,11,Purchase,MS
2016911,11,Purchase,MT
2016911,11,Purchase,NE
2016911,11,Purchase,OH
2016911,11,Purchase,OR
2016911,11,Purchase,PA
2016911,11,Purchase,SC
2016911,11,Purchase,TX
2016911,11,Purchase,UT
2016911,11,Purchase,WI
2016981,11,Purchase,AZ
2016981,11,Purchase,AR
2016981,11,Purchase,CA
2016981,11,Purchase,CO
2016981,11,Purchase,FL
2016981,11,Purchase,IL
2016981,11,Purchase,IA
2016981,11,Purchase,MI
2016981,11,Purchase,MT
2016981,11,Purchase,NJ
2016981,11,Purchase,NC
2016981,11,Purchase,OR
2016981,11,Purchase,PA
2016981,11,Purchase,TX
2016981,11,Purchase,WI
2016981,11,Purchase,WY
2017002,11,Refinance,AL
2017002,11,Refinance,CA
2017002,11,Refinance,DC
2017002,11,Refinance,FL
2017002,11,Refinance,GA
2017002,11,Refinance,MD
2017002,11,Refinance,MI
2017002,11,Refinance,MN
2017002,11,Refinance,NE
2017002,11,Refinance,NJ
2017002,11,Refinance,NY
2017002,11,Refinance,NC
2017002,11,Refinance,OH
2017002,11,Refinance,VA
2017002,11,Refinance,WY
2017272,11,Refinance,CA
2017272,11,Refinance,FL
2017272,11,Refinance,GA
2017272,11,Refinance,IL
2017272,11,Refinance,IN
2017272,11,Refinance,KS
2017272,11,Refinance,MD
2017272,11,Refinance,MA
2017272,11,Refinance,MI
2017272,11,Refinance,NE
2017272,11,Refinance,NY
2017272,11,Refinance,NC
2017272,11,Refinance,ND
2017272,11,Refinance,TX
2017272,11,Refinance,VA
2017272,11,Refinance,WA
2017272,11,Refinance,WV
2017435,11,Refinance,AK
2017435,11,Refinance,AZ
2017435,11,Refinance,CA
2017435,11,Refinance,FL
2017435,11,Refinance,GA
2017435,11,Refinance,ID
2017435,11,Refinance,IL
2017435,11,Refinance,KS
2017435,11,Refinance,ME
2017435,11,Refinance,MD
2017435,11,Refinance,MT
2017435,11,Refinance,NV
2017435,11,Refinance,OH
2017435,11,Refinance,TN
2017435,11,Refinance,TX
2017435,11,Refinance,VA
2017435,11,Refinance,WA
2017437,11,Refinance,CA
2017437,11,Refinance,FL
2017437,11,Refinance,GA
2017437,11,Refinance,LA
2017437,11,Refinance,MD
2017437,11,Refinance,MA
2017437,11,Refinance,MI
2017437,11,Refinance,MO
2017437,11,Refinance,OH
2017437,11,Refinance,PA
2017437,11,Refinance,TN
2017437,11,Refinance,WA
2017438,11,Refinance,CA
2017438,11,Refinance,CT
2017438,11,Refinance,FL
2017438,11,Refinance,GA
2017438,11,Refinance,MD
2017438,11,Refinance,MI
2017438,11,Refinance,MO
2017438,11,Refinance,NV
2017438,11,Refinance,NJ
2017438,11,Refinance,NC
2017438,11,Refinance,OH
2017438,11,Refinance,PA
2017438,11,Refinance,SC
2017438,11,Refinance,TN
2017438,11,Refinance,TX
2017438,11,Refinance,VA
2017438,11,Refinance,WA
2017584,11,Refinance,AL
2017584,11,Refinance,AK
2017584,11,Refinance,AZ
2017584,11,Refinance,CA
2017584,11,Refinance,FL
2017584,11,Refinance,GA
2017584,11,Refinance,KS
2017584,11,Refinance,KY
2017584,11,Refinance,MD
2017584,11,Refinance,NC
2017584,11,Refinance,OH
2017584,11,Refinance,PA
2017584,11,Refinance,SC
2017584,11,Refinance,TN
2017584,11,Refinance,VA
2017584,11,Refinance,WA
2017584,11,Refinance,WI
2017684,11,Refinance,AL
2017684,11,Refinance,AK
2017684,11,Refinance,CA
2017684,11,Refinance,CO
2017684,11,Refinance,DE
2017684,11,Refinance,DC
2017684,11,Refinance,FL
2017684,11,Refinance,GA
2017684,11,Refinance,IL
2017684,11,Refinance,IN
2017684,11,Refinance,KS
2017684,11,Refinance,MD
2017684,11,Refinance,MI
